,Title,Location,Categories,Date,Time
41,"„Ich der Tod – Du das Leben“: 30 Jahre Enttäuschungen, Frustrationen und andere Nebensächlichkeiten",Kultur- und Kommunikationszentrum Hansa48 e.V.,"['Konzert', 'Kultur']",05.10.2024,20:00 - 22:00 Uhr
42,Werkstatt-Theater-Kiel: Eingeschlossene Gesellschaft,Bürgerhaus Kronshagen,"['Theater', 'Kultur']",05.10.2024,20:00 - 22:00 Uhr
43,Glaube Liebe Hoffnung,Schauspielhaus Kiel,['Theater'],05.10.2024,20:00 - 22:30 Uhr
44,Glaube Liebe Hoffnung,Theater Kiel AöR,['Theater'],05.10.2024,20:00 - 22:30 Uhr
45,Elvis lebt!,Theater Die Komödianten,"['Kultur', 'Theater']",05.10.2024,20:00 - 21:30 Uhr
46,Livemusik,Pogue Mahone Irish Pub,"['Konzert', 'Nachtleben', 'Kultursommer']",05.10.2024,22:00 - 02:00 Uhr
47,Herbstmarkt in Molfsee,Freilichtmuseum Molfsee,"['Gastronomie', 'Kinderprogramm', 'Kultur', 'Märkte', 'Regionale Spezialitäten']",06.10.2024,09:00 - 18:00 Uhr
48,Bauern- und Regionalmarkt mit verkaufsoffenen Sonntag im CITTI-Park,CITTI-PARK,"['Gastronomie', 'Kinderprogramm', 'Kultur', 'Märkte', 'Regionale Spezialitäten', 'Shopping', 'Sport/Freizeit']",06.10.2024,09:00 - 20:00 Uhr
49,Der Gewölbekeller. Kostbarkeiten aus dem Alten Kiel,Stadtmuseum Warleberger Hof,"['Ausstellung', 'Kultur', 'Kultursommer']",06.10.2024,10:00 - 18:00 Uhr
50,Herbstmarkt in Molfsee,Freilichtmuseum Molfsee,"['Gastronomie', 'Kinderprogramm', 'Kultur', 'Märkte', 'Regionale Spezialitäten']",06.10.2024,09:00 - 18:00 Uhr
51,Bauern- und Regionalmarkt mit verkaufsoffenen Sonntag im CITTI-Park,CITTI-PARK,"['Gastronomie', 'Kinderprogramm', 'Kultur', 'Märkte', 'Regionale Spezialitäten', 'Shopping', 'Sport/Freizeit']",06.10.2024,09:00 - 20:00 Uhr
52,Der Gewölbekeller. Kostbarkeiten aus dem Alten Kiel,Stadtmuseum Warleberger Hof,"['Ausstellung', 'Kultur', 'Kultursommer']",06.10.2024,10:00 - 18:00 Uhr
53,Buntes Herbstfest im Tierpark,Tierpark Neumünster,"['Führung/Besichtigung', 'Kinderprogramm', 'Sport/Freizeit', 'Kultur']",06.10.2024,10:00 - 17:00 Uhr
54,Große Nord-Ostsee-Kanalfahrt,Bahnhofskai,"['Kultur', 'Führung/Besichtigung', 'Kultursommer']",06.10.2024,10:00 - 17:30 Uhr
55,Bücherflohmarkt inkl. verkaufsoffenem Sonntag,Sophienhof,"['Flohmarkt', 'Shopping', 'Kultur', 'Märkte']",06.10.2024,10:00 - 18:00 Uhr
56,"Marine, Werften, Segelsport – die Geschichte der Hafenstadt Kiel",Schifffahrtsmuseum,"['Ausstellung', 'Kultursommer', 'Kultur', 'Kieler-Woche']",06.10.2024,10:00 - 18:00 Uhr
57,"Kiel, Du bist gefragt!",Stadtmuseum Warleberger Hof,"['Ausstellung', 'Kultursommer', 'Kultur']",06.10.2024,10:00 - 18:00 Uhr
58,Die Howaldtswerke – Neubeginn nach 1945,Industriemuseum Howaldtsche Metallgießerei,"['Ausstellung', 'Kultursommer']",06.10.2024,10:00 - 18:00 Uhr
59,Kaufrausch. Konsum und Warenwelten der 1980er Jahre,Stadtmuseum Warleberger Hof,"['Ausstellung', 'Kultur', 'Kultursommer']",06.10.2024,10:00 - 18:00 Uhr
60,Prima Kunst: Johanna Blank – The Cabin,Stadtgalerie Kiel,['Ausstellung'],06.10.2024,11:00 - 17:00 Uhr
61,Kunstraum Sconeberg mit ganzjährigem Ausstellungsangebot,Kunstraum Sconeberg,"['Ausstellung', 'Kultur']",06.10.2024,11:00 - 18:00 Uhr
62,Bauernmarkt 2024,Welcome Center Kieler Förde,"['Gastronomie', 'Kinderprogramm', 'Regionale Spezialitäten']",06.10.2024,11:00 - 18:00 Uhr
